PROCESSNAME,INCIDENT,stepid,STEPLABEL,ASSIGNEDTOUSER,USERID_AFTER_SLASH,UserID,Name
????1,2000,1,????,user100,user100,user100,??
????1,2001,2,????,user102,user102,user102,??
????1,2002,3,????,user102,user102,user102,??
????1,2003,4,????,admin001,admin001,admin001,???
????1,2004,5,????,user102,user102,user102,??
????2,2005,1,????,admin001,admin001,admin001,???
????2,2006,2,????,user102,user102,user102,??
????2,2007,3,????,user101,user101,user101,??
????2,2008,4,????,admin001,admin001,admin001,???
????2,2009,5,????,user100,user100,user100,??
????3,2010,1,????,admin001,admin001,admin001,???
????3,2011,2,????,user102,user102,user102,??
????3,2012,3,????,user101,user101,user101,??
????3,2013,4,????,admin001,admin001,admin001,???
????3,2014,5,????,user100,user100,user100,??
????4,2015,1,????,admin001,admin001,admin001,???
????4,2016,2,????,user102,user102,user102,??
????4,2017,3,????,admin001,admin001,admin001,???
????4,2018,4,????,user100,user100,user100,??
????4,2019,5,????,user102,user102,user102,??
????5,2020,1,????,admin001,admin001,admin001,???
????5,2021,2,????,user102,user102,user102,??
????5,2022,3,????,user101,user101,user101,??
????5,2023,4,????,user102,user102,user102,??
????5,2024,5,????,user101,user101,user101,??
????6,2025,1,????,user101,user101,user101,??
????6,2026,2,????,user101,user101,user101,??
????6,2027,3,????,user101,user101,user101,??
????6,2028,4,????,user100,user100,user100,??
????6,2029,5,????,user100,user100,user100,??
????7,2030,1,????,user102,user102,user102,??
????7,2031,2,????,user102,user102,user102,??
????7,2032,3,????,admin001,admin001,admin001,???
????7,2033,4,????,user100,user100,user100,??
????7,2034,5,????,user102,user102,user102,??
????8,2035,1,????,admin001,admin001,admin001,???
????8,2036,2,????,user101,user101,user101,??
????8,2037,3,????,user101,user101,user101,??
????8,2038,4,????,user101,user101,user101,??
????8,2039,5,????,user102,user102,user102,??
????9,2040,1,????,user100,user100,user100,??
????9,2041,2,????,user100,user100,user100,??
????9,2042,3,????,user100,user100,user100,??
????9,2043,4,????,user100,user100,user100,??
????9,2044,5,????,user102,user102,user102,??
????10,2045,1,????,user101,user101,user101,??
????10,2046,2,????,user102,user102,user102,??
????10,2047,3,????,admin001,admin001,admin001,???
????10,2048,4,????,user101,user101,user101,??
????10,2049,5,????,user102,user102,user102,??
